time,cstrategy
2019-01-02,-529.1999999999999
2019-01-03,-475.9999999999998
2019-01-04,-720.3999999999996
2019-01-05,
2019-01-06,
2019-01-07,-382.3999999999995
2019-01-08,-116.39999999999947
2019-01-09,204.2000000000005
2019-01-10,464.6000000000006
2019-01-11,462.6000000000007
2019-01-12,
2019-01-13,
2019-01-14,-29.399999999999295
2019-01-15,125.8000000000007
2019-01-16,591.4000000000008
2019-01-17,269.40000000000083
2019-01-18,467.800000000001
2019-01-19,
2019-01-20,
2019-01-21,-338.999999999999
2019-01-22,204.200000000001
2019-01-23,-14.999999999998948
2019-01-24,-621.7999999999989
2019-01-25,
2019-01-26,
2019-01-27,
2019-01-28,-1213.5999999999992
2019-01-29,-1172.8
2019-01-30,-1197.2000000000003
2019-01-31,-796.4000000000007
2019-02-01,-913.2000000000007
2019-02-02,
2019-02-03,
2019-02-04,-775.0000000000009
2019-02-05,-906.6000000000007
2019-02-06,-806.0000000000008
2019-02-07,-350.00000000000057
2019-02-08,-139.60000000000056
2019-02-09,
2019-02-10,
2019-02-11,108.39999999999941
2019-02-12,-136.00000000000063
2019-02-13,174.39999999999935
2019-02-14,175.19999999999933
2019-02-15,-39.20000000000072
2019-02-16,
2019-02-17,
2019-02-18,-63.600000000000726
2019-02-19,401.9999999999992
2019-02-20,789.9999999999993
2019-02-21,673.1999999999995
2019-02-22,1138.7999999999995
2019-02-23,
2019-02-24,
2019-02-25,1526.799999999999
2019-02-26,1142.5999999999983
2019-02-27,1025.5999999999983
2019-02-28,1335.999999999998
2019-03-01,646.7999999999978
2019-03-02,
2019-03-03,
2019-03-04,
2019-03-05,
2019-03-06,724.3999999999978
2019-03-07,984.7999999999979
2019-03-08,1450.3999999999974
2019-03-09,
2019-03-10,
2019-03-11,1553.5999999999967
2019-03-12,1851.5999999999963
2019-03-13,1447.3999999999955
2019-03-14,1622.999999999995
2019-03-15,1638.7999999999943
2019-03-16,
2019-03-17,
2019-03-18,1184.3999999999937
2019-03-19,1429.9999999999932
2019-03-20,1377.9999999999927
2019-03-21,1348.5999999999922
2019-03-22,1686.5999999999917
2019-03-23,
2019-03-24,
2019-03-25,1637.399999999991
2019-03-26,1485.5999999999904
2019-03-27,1213.59999999999
2019-03-28,941.5999999999898
