time,cstrategy
2019-01-02,35.19999999999999
2019-01-03,-19.19999999999999
2019-01-04,848.8000000000001
2019-01-05,
2019-01-06,
2019-01-07,661.8000000000002
2019-01-08,337.0000000000002
2019-01-09,205.00000000000023
2019-01-10,-246.9999999999998
2019-01-11,-271.5999999999998
2019-01-12,
2019-01-13,
2019-01-14,-405.99999999999966
2019-01-15,-392.7999999999996
2019-01-16,-252.19999999999953
2019-01-17,-811.7999999999995
2019-01-18,-1143.7999999999997
2019-01-19,
2019-01-20,
2019-01-21,-1950.6000000000004
2019-01-22,-1575.000000000001
2019-01-23,-2027.0000000000014
2019-01-24,-2308.800000000002
2019-01-25,
2019-01-26,
2019-01-27,
2019-01-28,-2433.4000000000024
2019-01-29,-2295.8000000000025
2019-01-30,-2933.0000000000027
2019-01-31,-3062.800000000003
2019-02-01,-4037.2000000000035
2019-02-02,
2019-02-03,
2019-02-04,-4232.000000000003
2019-02-05,-4326.800000000002
2019-02-06,-4544.000000000001
2019-02-07,-5051.2
2019-02-08,-5178.399999999999
2019-02-09,
2019-02-10,
2019-02-11,-5030.399999999997
2019-02-12,-4522.399999999995
2019-02-13,-3774.3999999999946
2019-02-14,-4021.5999999999945
2019-02-15,-4346.399999999994
2019-02-16,
2019-02-17,
2019-02-18,-4115.999999999993
2019-02-19,-4560.599999999991
2019-02-20,-4447.79999999999
2019-02-21,-4217.39999999999
2019-02-22,-4601.999999999988
2019-02-23,
2019-02-24,
2019-02-25,-4241.599999999987
2019-02-26,-4891.199999999985
2019-02-27,-5233.199999999983
2019-02-28,-5720.399999999982
2019-03-01,-6107.3999999999805
2019-03-02,
2019-03-03,
2019-03-04,
2019-03-05,
2019-03-06,-6029.79999999998
2019-03-07,-5599.399999999979
2019-03-08,-5723.7999999999765
2019-03-09,
2019-03-10,
2019-03-11,-6043.399999999975
2019-03-12,-6130.599999999974
2019-03-13,-6780.1999999999725
2019-03-14,-6599.799999999971
2019-03-15,-6256.799999999969
2019-03-16,
2019-03-17,
2019-03-18,-5946.399999999968
2019-03-19,-6435.799999999966
2019-03-20,-6922.9999999999645
2019-03-21,-6527.799999999964
2019-03-22,-6044.599999999961
2019-03-23,
2019-03-24,
2019-03-25,-5634.19999999996
2019-03-26,-5406.399999999959
2019-03-27,-4705.999999999957
2019-03-28,-4875.599999999956
2019-03-29,-4469.999999999954
2019-03-30,
2019-03-31,
2019-04-01,-4632.399999999953
2019-04-02,-4959.399999999951
2019-04-03,-4451.39999999995
2019-04-04,-4285.999999999948
2019-04-05,-4220.599999999948
2019-04-06,
2019-04-07,
2019-04-08,-4240.199999999947
2019-04-09,-4572.399999999946
2019-04-10,-4831.9999999999445
2019-04-11,-4826.599999999943
2019-04-12,-5278.599999999941
2019-04-13,
2019-04-14,
2019-04-15,-5598.19999999994
2019-04-16,-5922.999999999939
2019-04-17,-5539.999999999937
2019-04-18,-6209.599999999936
2019-04-19,
2019-04-20,
2019-04-21,
2019-04-22,-5993.799999999933
2019-04-23,-6120.999999999932
2019-04-24,-5677.99999999993
2019-04-25,-5169.999999999928
2019-04-26,-5164.599999999927
2019-04-27,
2019-04-28,
2019-04-29,-5264.199999999925
2019-04-30,-5433.799999999924
2019-05-01,
2019-05-02,-5485.799999999922
2019-05-03,-5483.199999999922
2019-05-04,
2019-05-05,
2019-05-06,-5587.999999999921
2019-05-07,-6075.19999999992
2019-05-08,-6004.999999999919
2019-05-09,-6286.999999999917
2019-05-10,-6498.999999999915
2019-05-11,
2019-05-12,
2019-05-13,-6986.199999999914
2019-05-14,-7317.999999999912
2019-05-15,-7252.39999999991
2019-05-16,-6204.399999999908
2019-05-17,-6529.199999999907
2019-05-18,
2019-05-19,
2019-05-20,-6896.199999999905
2019-05-21,-6423.399999999904
2019-05-22,-6395.399999999902
2019-05-23,-6327.599999999901
2019-05-24,-6759.7999999999
2019-05-25,
2019-05-26,
2019-05-27,-6119.399999999899
2019-05-28,-6348.7999999998965
2019-05-29,-6355.999999999895
2019-05-30,-6537.799999999893
2019-05-31,-6142.599999999892
2019-06-01,
2019-06-02,
2019-06-03,-6154.799999999891
2019-06-04,-6179.59999999989
2019-06-05,-5281.5999999998885
2019-06-06,-5496.199999999887
2019-06-07,-5855.799999999886
2019-06-08,
2019-06-09,
2019-06-10,-6155.399999999884
2019-06-11,-5682.599999999883
2019-06-12,-5802.199999999882
2019-06-13,-5406.599999999879
2019-06-14,-4976.199999999878
2019-06-15,
2019-06-16,
2019-06-17,-4665.7999999998765
2019-06-18,-4815.599999999876
2019-06-19,-5267.599999999874
2019-06-20,
2019-06-21,-5379.799999999873
2019-06-22,
2019-06-23,
2019-06-24,-5449.599999999872
2019-06-25,-5478.99999999987
2019-06-26,-5668.399999999868
2019-06-27,-5717.999999999866
2019-06-28,-5147.599999999865
2019-06-29,
2019-06-30,
2019-07-01,-5039.599999999863
