time,cstrategy
2019-01-02,1636.0
2019-01-03,1108.0
2019-01-04,654.0
2019-01-05,
2019-01-06,
2019-01-07,489.0
2019-01-08,262.0
2019-01-09,109.0
2019-01-10,-165.0
2019-01-11,-324.0
2019-01-12,
2019-01-13,
2019-01-14,-247.0
2019-01-15,-406.0
2019-01-16,-554.0
2019-01-17,-131.0
2019-01-18,-250.0
2019-01-19,
2019-01-20,
2019-01-21,-592.0
2019-01-22,-735.0
2019-01-23,-552.0
2019-01-24,-590.0
2019-01-25,
2019-01-26,
2019-01-27,
2019-01-28,-491.0
2019-01-29,-910.0
2019-01-30,-1163.0
2019-01-31,-2024.0
2019-02-01,-2230.0
2019-02-02,
2019-02-03,
2019-02-04,-2265.0
2019-02-05,-2432.0
2019-02-06,-1920.0
2019-02-07,-2698.0
2019-02-08,-3268.0
2019-02-09,
2019-02-10,
2019-02-11,-2705.0
2019-02-12,-3062.0
2019-02-13,-2924.0
2019-02-14,-3664.0
2019-02-15,-3878.0
2019-02-16,
2019-02-17,
2019-02-18,-3823.0
2019-02-19,-4035.0
2019-02-20,-4060.0
2019-02-21,-4748.0
2019-02-22,-4752.0
2019-02-23,
2019-02-24,
2019-02-25,-4543.0
2019-02-26,-4682.0
2019-02-27,-4923.0
2019-02-28,-3910.0
2019-03-01,-3639.0
2019-03-02,
2019-03-03,
2019-03-04,
2019-03-05,
2019-03-06,-3702.0
2019-03-07,-3670.0
2019-03-08,-4002.0
2019-03-09,
2019-03-10,
2019-03-11,-2856.0
2019-03-12,-2879.0
2019-03-13,-3214.0
2019-03-14,-3275.0
2019-03-15,-3537.0
2019-03-16,
2019-03-17,
2019-03-18,-3419.0
2019-03-19,-3840.0
2019-03-20,-3382.0
2019-03-21,-3766.0
2019-03-22,-3808.0
2019-03-23,
2019-03-24,
2019-03-25,-4004.0
2019-03-26,-4313.0
2019-03-27,-3839.0
2019-03-28,-2270.0
2019-03-29,-2484.0
2019-03-30,
2019-03-31,
2019-04-01,-2643.0
2019-04-02,-2556.0
2019-04-03,-1750.0
2019-04-04,-1330.0
2019-04-05,-1400.0
2019-04-06,
2019-04-07,
2019-04-08,-1553.0
2019-04-09,-1497.0
2019-04-10,-1376.0
2019-04-11,-931.0
2019-04-12,-1139.0
2019-04-13,
2019-04-14,
2019-04-15,-1419.0
2019-04-16,-823.0
2019-04-17,-1206.0
2019-04-18,-1515.0
2019-04-19,
2019-04-20,
2019-04-21,
2019-04-22,-1973.0
2019-04-23,-1908.0
2019-04-24,-2369.0
2019-04-25,-2725.0
2019-04-26,-2978.0
2019-04-27,
2019-04-28,
2019-04-29,-3302.0
2019-04-30,-4044.0
2019-05-01,
2019-05-02,-4209.0
2019-05-03,-4395.0
2019-05-04,
2019-05-05,
2019-05-06,-4552.0
2019-05-07,-4374.0
2019-05-08,-4191.0
2019-05-09,-4433.0
2019-05-10,-4591.0
2019-05-11,
2019-05-12,
2019-05-13,-4452.0
2019-05-14,-4589.0
2019-05-15,-4945.0
2019-05-16,-5807.0
2019-05-17,-5679.0
2019-05-18,
2019-05-19,
2019-05-20,-5895.0
2019-05-21,-5443.0
2019-05-22,-5741.0
2019-05-23,-6192.0
2019-05-24,-5678.0
2019-05-25,
2019-05-26,
2019-05-27,-5404.0
2019-05-28,-4736.0
2019-05-29,-4691.0
2019-05-30,-4558.0
2019-05-31,-4662.0
2019-06-01,
2019-06-02,
2019-06-03,-4803.0
2019-06-04,-4901.0
2019-06-05,-3987.0
2019-06-06,-4089.0
2019-06-07,-4133.0
2019-06-08,
2019-06-09,
2019-06-10,-4317.0
2019-06-11,-3922.0
2019-06-12,-3588.0
2019-06-13,-3724.0
2019-06-14,-3741.0
2019-06-15,
2019-06-16,
2019-06-17,-4085.0
2019-06-18,-3872.0
2019-06-19,-4045.0
2019-06-20,
2019-06-21,-4005.0
2019-06-22,
2019-06-23,
2019-06-24,-4162.0
2019-06-25,-3210.0
2019-06-26,-3491.0
2019-06-27,-3392.0
2019-06-28,-2634.0
2019-06-29,
2019-06-30,
2019-07-01,-2560.0
2019-07-02,-2688.0
2019-07-03,-2350.0
2019-07-04,-2427.0
2019-07-05,-2099.0
2019-07-06,
2019-07-07,
2019-07-08,-2340.0
2019-07-09,
2019-07-10,-2962.0
2019-07-11,-2910.0
2019-07-12,-2795.0
2019-07-13,
2019-07-14,
2019-07-15,-2857.0
2019-07-16,-3073.0
2019-07-17,-3261.0
2019-07-18,-3360.0
2019-07-19,-2618.0
2019-07-20,
2019-07-21,
2019-07-22,-2755.0
2019-07-23,-2933.0
2019-07-24,-3161.0
2019-07-25,-3027.0
2019-07-26,-3265.0
2019-07-27,
2019-07-28,
2019-07-29,-3088.0
2019-07-30,-2946.0
2019-07-31,-1908.0
2019-08-01,-2874.0
2019-08-02,-3142.0
2019-08-03,
2019-08-04,
2019-08-05,-3184.0
2019-08-06,-3423.0
2019-08-07,-2685.0
2019-08-08,-2781.0
2019-08-09,-2887.0
2019-08-10,
2019-08-11,
