time,cstrategy
2019-01-02,622.0
2019-01-03,678.0
2019-01-04,447.0
2019-01-05,
2019-01-06,
2019-01-07,71.0
2019-01-08,-54.0
2019-01-09,-15.0
2019-01-10,111.0
2019-01-11,18.0
2019-01-12,
2019-01-13,
2019-01-14,234.0
2019-01-15,75.0
2019-01-16,3.0
2019-01-17,1050.0
2019-01-18,1086.0
2019-01-19,
2019-01-20,
2019-01-21,1575.0
2019-01-22,1183.0
2019-01-23,1453.0
2019-01-24,1600.0
2019-01-25,
2019-01-26,
2019-01-27,
2019-01-28,1550.0
2019-01-29,1487.0
2019-01-30,1362.0
2019-01-31,1267.0
2019-02-01,1093.0
2019-02-02,
2019-02-03,
2019-02-04,1575.0
2019-02-05,1457.0
2019-02-06,1883.0
2019-02-07,1599.0
2019-02-08,1669.0
2019-02-09,
2019-02-10,
2019-02-11,1530.0
2019-02-12,1462.0
2019-02-13,1211.0
2019-02-14,1267.0
2019-02-15,1244.0
2019-02-16,
2019-02-17,
2019-02-18,978.0
2019-02-19,1030.0
2019-02-20,718.0
2019-02-21,561.0
2019-02-22,727.0
2019-02-23,
2019-02-24,
2019-02-25,615.0
2019-02-26,516.0
2019-02-27,180.0
2019-02-28,550.0
2019-03-01,392.0
2019-03-02,
2019-03-03,
2019-03-04,
2019-03-05,
2019-03-06,342.0
2019-03-07,104.0
2019-03-08,432.0
2019-03-09,
2019-03-10,
2019-03-11,796.0
2019-03-12,456.0
2019-03-13,934.0
2019-03-14,808.0
2019-03-15,641.0
2019-03-16,
2019-03-17,
2019-03-18,991.0
2019-03-19,669.0
2019-03-20,187.0
2019-03-21,417.0
2019-03-22,505.0
2019-03-23,
2019-03-24,
2019-03-25,221.0
2019-03-26,11.0
2019-03-27,489.0
2019-03-28,1632.0
2019-03-29,1520.0
2019-03-30,
2019-03-31,
2019-04-01,1405.0
2019-04-02,1373.0
2019-04-03,1573.0
2019-04-04,1755.0
2019-04-05,1865.0
2019-04-06,
2019-04-07,
2019-04-08,1816.0
2019-04-09,1931.0
2019-04-10,1643.0
2019-04-11,1860.0
2019-04-12,1628.0
2019-04-13,
2019-04-14,
2019-04-15,1387.0
2019-04-16,1748.0
2019-04-17,2040.0
2019-04-18,2063.0
2019-04-19,
2019-04-20,
2019-04-21,
2019-04-22,1903.0
2019-04-23,1800.0
2019-04-24,1779.0
2019-04-25,2218.0
2019-04-26,1903.0
2019-04-27,
2019-04-28,
2019-04-29,1744.0
2019-04-30,1410.0
2019-05-01,
2019-05-02,1232.0
2019-05-03,1157.0
2019-05-04,
2019-05-05,
2019-05-06,1136.0
2019-05-07,1040.0
2019-05-08,938.0
2019-05-09,1143.0
2019-05-10,1327.0
2019-05-11,
2019-05-12,
2019-05-13,1645.0
2019-05-14,1573.0
2019-05-15,1543.0
2019-05-16,1367.0
2019-05-17,1675.0
2019-05-18,
2019-05-19,
2019-05-20,1858.0
2019-05-21,2378.0
2019-05-22,2194.0
2019-05-23,1937.0
2019-05-24,1975.0
2019-05-25,
2019-05-26,
2019-05-27,2151.0
2019-05-28,2378.0
2019-05-29,2282.0
2019-05-30,2521.0
2019-05-31,2452.0
2019-06-01,
2019-06-02,
2019-06-03,2045.0
2019-06-04,1686.0
2019-06-05,2232.0
2019-06-06,1948.0
2019-06-07,1955.0
2019-06-08,
2019-06-09,
2019-06-10,1641.0
2019-06-11,2092.0
2019-06-12,2256.0
2019-06-13,1889.0
2019-06-14,1533.0
2019-06-15,
2019-06-16,
2019-06-17,1417.0
2019-06-18,1819.0
2019-06-19,2352.0
2019-06-20,
2019-06-21,2588.0
2019-06-22,
2019-06-23,
2019-06-24,2222.0
2019-06-25,2582.0
2019-06-26,2135.0
2019-06-27,2047.0
2019-06-28,1947.0
2019-06-29,
2019-06-30,
2019-07-01,1934.0
2019-07-02,1506.0
2019-07-03,1771.0
2019-07-04,2103.0
2019-07-05,2535.0
2019-07-06,
2019-07-07,
2019-07-08,2421.0
2019-07-09,
2019-07-10,2304.0
2019-07-11,2131.0
2019-07-12,2193.0
2019-07-13,
2019-07-14,
2019-07-15,1899.0
2019-07-16,1479.0
2019-07-17,1308.0
2019-07-18,1591.0
2019-07-19,2238.0
2019-07-20,
2019-07-21,
2019-07-22,1773.0
2019-07-23,1613.0
2019-07-24,1431.0
2019-07-25,1271.0
2019-07-26,820.0
2019-07-27,
2019-07-28,
2019-07-29,1303.0
2019-07-30,954.0
2019-07-31,1286.0
2019-08-01,1371.0
2019-08-02,1401.0
2019-08-03,
2019-08-04,
2019-08-05,1475.0
2019-08-06,1438.0
2019-08-07,2408.0
2019-08-08,2243.0
2019-08-09,2172.0
2019-08-10,
2019-08-11,
2019-08-12,2108.0
2019-08-13,2187.0
2019-08-14,2714.0
2019-08-15,2966.0
2019-08-16,2656.0
2019-08-17,
2019-08-18,
2019-08-19,2905.0
2019-08-20,2780.0
2019-08-21,3039.0
2019-08-22,3311.0
2019-08-23,3243.0
