time,cstrategy
2019-01-02,5630.0
2019-01-03,3094.0
2019-01-04,-2102.0
2019-01-05,
2019-01-06,
2019-01-07,-7596.0
2019-01-08,-2778.0
2019-01-09,5624.0
2019-01-10,4526.0
2019-01-11,-968.0
2019-01-12,
2019-01-13,
2019-01-14,-4398.0
2019-01-15,-9266.0
2019-01-16,-5506.0
2019-01-17,430.0
2019-01-18,1068.0
2019-01-19,
2019-01-20,
2019-01-21,-4672.0
2019-01-22,-8892.0
2019-01-23,-3642.0
2019-01-24,-9546.0
2019-01-25,
2019-01-26,
2019-01-27,
2019-01-28,-5622.0
2019-01-29,-9380.0
2019-01-30,-8168.0
2019-01-31,-13774.0
2019-02-01,-19596.0
2019-02-02,
2019-02-03,
2019-02-04,-23108.0
2019-02-05,-25808.0
2019-02-06,-13524.0
2019-02-07,-16820.0
2019-02-08,-19982.0
2019-02-09,
2019-02-10,
2019-02-11,-18390.0
2019-02-12,-14220.0
2019-02-13,-17434.0
2019-02-14,-18152.0
2019-02-15,-22372.0
2019-02-16,
2019-02-17,
2019-02-18,-26696.0
2019-02-19,-28658.0
2019-02-20,-25792.0
2019-02-21,-23850.0
2019-02-22,-29590.0
2019-02-23,
2019-02-24,
2019-02-25,-27454.0
2019-02-26,-25482.0
2019-02-27,-24486.0
2019-02-28,-20838.0
2019-03-01,-15096.0
2019-03-02,
2019-03-03,
2019-03-04,
2019-03-05,
2019-03-06,-18376.0
2019-03-07,-24526.0
2019-03-08,-13680.0
2019-03-09,
2019-03-10,
2019-03-11,-3944.0
2019-03-12,-6860.0
2019-03-13,-7928.0
2019-03-14,-10278.0
2019-03-15,-12978.0
2019-03-16,
2019-03-17,
2019-03-18,-18554.0
2019-03-19,-14466.0
2019-03-20,-14424.0
2019-03-21,-14218.0
2019-03-22,-6628.0
2019-03-23,
2019-03-24,
2019-03-25,-6586.0
2019-03-26,-9666.0
2019-03-27,-2434.0
2019-03-28,9820.0
2019-03-29,5362.0
2019-03-30,
2019-03-31,
2019-04-01,1984.0
2019-04-02,-1692.0
2019-04-03,-4012.0
2019-04-04,-3508.0
2019-04-05,-9412.0
2019-04-06,
2019-04-07,
2019-04-08,-10890.0
2019-04-09,-12450.0
2019-04-10,-10724.0
2019-04-11,-7202.0
2019-04-12,-7592.0
2019-04-13,
2019-04-14,
2019-04-15,-10456.0
2019-04-16,-10630.0
2019-04-17,-6512.0
2019-04-18,-11790.0
2019-04-19,
2019-04-20,
2019-04-21,
2019-04-22,-9714.0
2019-04-23,-13740.0
2019-04-24,-15300.0
2019-04-25,-17262.0
2019-04-26,-22510.0
2019-04-27,
2019-04-28,
2019-04-29,-25210.0
2019-04-30,-27478.0
2019-05-01,
2019-05-02,-32726.0
2019-05-03,-28832.0
2019-05-04,
2019-05-05,
2019-05-06,-23820.0
2019-05-07,-15120.0
2019-05-08,-9296.0
2019-05-09,-8084.0
2019-05-10,-8750.0
2019-05-11,
2019-05-12,
2019-05-13,-9252.0
2019-05-14,-9560.0
2019-05-15,-10390.0
2019-05-16,-11078.0
2019-05-17,-11006.0
2019-05-18,
2019-05-19,
2019-05-20,272.0
2019-05-21,694.0
2019-05-22,-4122.0
2019-05-23,-8528.0
2019-05-24,-12524.0
2019-05-25,
2019-05-26,
2019-05-27,-8920.0
2019-05-28,-11076.0
2019-05-29,-13150.0
2019-05-30,-15194.0
2019-05-31,-15420.0
2019-06-01,
2019-06-02,
2019-06-03,-21078.0
2019-06-04,-25700.0
2019-06-05,-24868.0
2019-06-06,-23522.0
2019-06-07,-29098.0
2019-06-08,
2019-06-09,
2019-06-10,-28020.0
2019-06-11,-18232.0
2019-06-12,-23376.0
2019-06-13,-23982.0
2019-06-14,-27248.0
2019-06-15,
2019-06-16,
2019-06-17,-29158.0
2019-06-18,-20510.0
2019-06-19,-10886.0
2019-06-20,
2019-06-21,-15672.0
2019-06-22,
2019-06-23,
2019-06-24,-10630.0
2019-06-25,-2556.0
2019-06-26,-6366.0
2019-06-27,-728.0
2019-06-28,-5976.0
2019-06-29,
2019-06-30,
2019-07-01,1152.0
2019-07-02,-2926.0
2019-07-03,9142.0
2019-07-04,5004.0
2019-07-05,11618.0
2019-07-06,
2019-07-07,
2019-07-08,21540.0
2019-07-09,
2019-07-10,18430.0
2019-07-11,17712.0
2019-07-12,17672.0
2019-07-13,
2019-07-14,
2019-07-15,12260.0
2019-07-16,6766.0
2019-07-17,1108.0
2019-07-18,-4714.0
2019-07-19,-4940.0
2019-07-20,
2019-07-21,
2019-07-22,-10352.0
2019-07-23,-15518.0
2019-07-24,-14388.0
2019-07-25,-17140.0
2019-07-26,-22880.0
2019-07-27,
2019-07-28,
2019-07-29,-28292.0
2019-07-30,-26804.0
2019-07-31,-26382.0
2019-08-01,-26474.0
2019-08-02,-30962.0
2019-08-03,
2019-08-04,
2019-08-05,-32902.0
2019-08-06,-37770.0
2019-08-07,-26566.0
2019-08-08,-30808.0
2019-08-09,-28374.0
2019-08-10,
2019-08-11,
2019-08-12,-34278.0
2019-08-13,-32358.0
2019-08-14,-26206.0
