time,time_ent,type,position_id,magic,price_ent,volume,posi,time_ext,price_ext,profit,comment,delta_t,pts_final_demo,pts_final_real,lucro,cstrategy
2025-06-25 12:00:00,2025-06-25 12:05:00,1,2130512873,3443,5559.0,1.0,short,2025-06-25 12:26:04,5573.0,-140.0,[sl 5573.000],21.066666666666666,14.0,-14.0,-140.5,-140.5
2025-06-25 12:15:00,2025-06-25 12:20:01,1,2130587790,3443,5564.5,1.0,short,2025-06-25 12:26:11,5578.5,-140.0,[sl 5578.500],6.166666666666667,14.0,-14.0,-140.5,-281.0
2025-06-25 12:35:00,2025-06-25 12:40:01,0,2130696417,3443,5560.0,1.0,long,2025-06-25 13:27:10,5546.0,-140.0,[sl 5546.000],47.15,14.0,-14.0,-140.5,-421.5
2025-06-25 12:55:00,2025-06-25 13:00:00,1,2130785788,3443,5563.5,1.0,short,,,,,,,,,
2025-06-25 13:00:00,2025-06-25 13:05:00,0,2130805579,3443,5555.5,1.0,long,2025-06-25 13:37:30,5541.5,-140.0,[sl 5541.500],32.5,14.0,-14.0,-140.5,-562.0
2025-06-25 13:25:00,2025-06-25 13:30:00,0,2130866836,3443,5545.5,1.0,long,,,,,,,,,
2025-06-25 15:20:00,2025-06-25 15:25:00,0,2131148652,3443,5552.0,1.0,long,,,,,,,,,
2025-06-25 15:35:00,2025-06-25 15:40:00,0,2131198867,3443,5550.5,1.0,long,,,,,,,,,
2025-06-26 12:20:00,2025-06-26 12:25:00,1,2132265119,3443,5509.0,1.0,short,,,,,,,,,
2025-06-26 12:50:00,2025-06-26 12:55:00,0,2132348819,3443,5509.5,1.0,long,2025-06-26 14:48:24,5495.5,-140.0,[sl 5495.500],113.4,14.0,-14.0,-140.5,-702.5
2025-06-26 13:15:00,2025-06-26 13:20:00,0,2132404554,3443,5511.0,1.0,long,2025-06-26 14:41:09,5497.0,-140.0,[sl 5497.000],81.15,14.0,-14.0,-140.5,-843.0
2025-06-26 13:25:00,2025-06-26 13:30:00,0,2132423835,3443,5509.5,1.0,long,2025-06-26 14:48:24,5495.5,-140.0,[sl 5495.500],78.4,14.0,-14.0,-140.5,-983.5
2025-06-26 13:40:00,2025-06-26 13:45:00,0,2132445333,3443,5508.0,1.0,long,2025-06-26 17:43:17,5494.0,-140.0,[sl 5494.000],238.28333333333333,14.0,-14.0,-140.5,-1124.0
2025-06-26 15:25:00,2025-06-26 15:30:00,0,2132666765,3443,5500.0,1.0,long,,,,,,,,,
2025-06-26 15:45:00,2025-06-26 15:50:00,0,2132706766,3443,5498.0,1.0,long,,,,,,,,,
2025-06-27 12:40:00,2025-06-27 12:45:00,0,2134078225,3443,5478.0,1.0,long,,,,,,,,,
2025-06-27 12:55:00,2025-06-27 13:00:00,1,2134136000,3443,5482.5,1.0,short,,,,,,,,,
2025-06-27 13:00:00,2025-06-27 13:05:00,0,2134161339,3443,5469.0,1.0,long,,,,,,,,,
2025-06-27 13:35:00,2025-06-27 13:40:00,0,2134263468,3443,5469.0,1.0,long,,,,,,,,,
2025-06-27 13:55:00,2025-06-27 14:00:00,0,2134302983,3443,5470.5,1.0,long,,,,,,,,,
2025-06-27 15:45:00,2025-06-27 15:50:00,0,2134584916,3443,5490.5,1.0,long,2025-06-27 17:54:00,5487.0,-35.0,,124.0,3.5,-3.5,-35.5,-1159.5
