time,time_ent,type,position_id,magic,price_ent,volume,posi,time_ext,price_ext,profit,comment,delta_t,pts_final_demo,pts_final_real,lucro,cstrategy
2025-06-24 15:30:00,2025-06-24 15:35:00,1,2129341744,3598,140105.0,1.0,short,,,,,,,,,
2025-06-24 15:39:00,2025-06-24 15:43:48,0,2129341744,3598,139555.0,1.0,long,,,,,,,,,
2025-06-24 17:05:00,2025-06-24 17:10:00,1,2129476005,3598,139605.0,1.0,short,2025-06-24 17:54:00,139485.0,24.0,,44.0,120.0,120.0,23.5,23.5
2025-06-24 17:20:00,2025-06-24 17:25:00,1,2129486371,3598,139420.0,1.0,short,2025-06-24 17:54:00,139485.0,-13.0,,29.0,65.0,-65.0,-13.5,10.0
2025-06-25 10:35:00,2025-06-25 10:40:00,1,2130089205,3598,138415.0,1.0,short,,,,,,,,,
2025-06-25 11:32:00,2025-06-25 11:36:45,0,2130089205,3598,138765.0,1.0,long,,,,,,,,,
2025-06-25 12:10:00,2025-06-25 12:15:00,1,2130565774,3598,138085.0,1.0,short,,,,,,,,,
2025-06-25 12:20:00,2025-06-25 12:25:00,1,2130612330,3598,137955.0,1.0,short,,,,,,,,,
2025-06-25 12:38:00,2025-06-25 12:43:27,0,2130612330,3598,138305.0,1.0,long,,,,,,,,,
2025-06-25 12:59:00,2025-06-25 13:04:26,0,2130565774,3598,138435.0,1.0,long,,,,,,,,,
2025-06-25 15:05:00,2025-06-25 15:10:00,1,2131112805,3598,138000.0,1.0,short,,,,,,,,,
2025-06-25 15:48:00,2025-06-25 15:53:28,0,2131112805,3598,138350.0,1.0,long,,,,,,,,,
2025-06-25 17:20:00,2025-06-25 17:25:00,1,2131405223,3598,137830.0,1.0,short,2025-06-25 17:54:00,137840.0,-2.0,,29.0,10.0,-10.0,-2.5,7.5
2025-06-26 11:15:00,2025-06-26 11:20:00,0,2132071763,3598,139255.0,1.0,long,2025-06-26 17:54:00,139320.0,13.0,,394.0,65.0,65.0,12.5,20.0
2025-06-26 11:30:00,2025-06-26 11:35:00,0,2132123287,3598,139330.0,1.0,long,2025-06-26 17:54:00,139320.0,-2.0,,379.0,10.0,-10.0,-2.5,17.5
2025-06-26 11:40:00,2025-06-26 11:45:00,0,2132157824,3598,139530.0,1.0,long,2025-06-26 17:54:00,139320.0,-42.0,,369.0,210.0,-210.0,-42.5,-25.0
2025-06-27 14:45:00,2025-06-27 14:50:00,1,2134443669,3598,139060.0,1.0,short,2025-06-27 17:54:00,139145.0,-17.0,,184.0,85.0,-85.0,-17.5,-42.5
2025-06-27 16:05:00,2025-06-27 16:10:00,1,2134632937,3598,138835.0,1.0,short,,,,,,,,,
2025-06-27 16:48:00,2025-06-27 16:52:36,0,2134632937,3598,139185.0,1.0,long,,,,,,,,,
